source,target,t_infect,weight,directed
149,157,40,40,True
163,173,40,40,True
33,30,45,45,True
23,74,48,48,True
30,33,85,85,True
149,157,103,103,True
153,174,109,109,True
23,74,115,115,True
71,42,120,120,True
11,45,121,121,True
174,153,122,122,True
174,158,123,123,True
47,41,124,124,True
158,156,126,126,True
160,168,131,131,True
153,174,149,149,True
71,42,150,150,True
62,70,152,152,True
168,177,159,159,True
149,157,160,160,True
149,158,161,161,True
74,23,164,164,True
74,23,177,177,True
158,162,186,186,True
177,170,189,189,True
160,168,192,192,True
168,152,194,194,True
157,149,218,218,True
168,152,231,231,True
168,160,236,236,True
62,70,237,237,True
152,168,237,237,True
174,158,244,244,True
168,160,268,268,True
158,174,289,289,True
168,166,290,290,True
153,174,296,296,True
174,153,308,308,True
168,160,310,310,True
153,174,314,314,True
168,160,321,321,True
174,153,322,322,True
160,168,322,322,True
70,62,324,324,True
168,160,330,330,True
62,70,336,336,True
160,167,345,345,True
168,160,356,356,True
160,168,368,368,True
168,152,382,382,True
70,62,384,384,True
168,152,384,384,True
153,163,385,385,True
153,173,385,385,True
160,165,388,388,True
168,177,388,388,True
165,149,389,389,True
168,150,389,389,True
163,155,389,389,True
165,154,389,389,True
168,167,389,389,True
62,41,390,390,True
154,175,390,390,True
175,172,392,392,True
149,164,393,393,True
154,158,396,396,True
165,156,396,396,True
158,157,397,397,True
62,8,400,400,True
62,45,400,400,True
8,21,402,402,True
8,42,402,402,True
62,33,402,402,True
62,40,402,402,True
45,68,402,402,True
154,175,402,402,True
42,71,404,404,True
160,168,404,404,True
62,14,405,405,True
68,7,406,406,True
167,175,406,406,True
164,162,406,406,True
62,21,408,408,True
68,7,411,411,True
45,86,412,412,True
154,94,412,412,True
150,149,413,413,True
167,94,414,414,True
71,42,415,415,True
152,117,415,415,True
40,14,416,416,True
86,7,417,417,True
167,109,417,417,True
8,11,418,418,True
40,70,418,418,True
40,70,419,419,True
153,176,422,422,True
150,157,425,425,True
167,175,425,425,True
152,117,426,426,True
42,53,430,430,True
160,152,430,430,True
173,158,432,432,True
163,79,433,433,True
7,141,436,436,True
70,47,436,436,True
94,98,436,436,True
176,159,436,436,True
168,166,437,437,True
86,131,438,438,True
79,128,439,439,True
172,149,439,439,True
128,28,440,440,True
62,65,440,440,True
131,89,440,440,True
158,156,440,440,True
28,0,441,441,True
68,46,441,441,True
21,60,441,441,True
70,108,441,441,True
42,45,441,441,True
131,89,441,441,True
8,47,442,442,True
14,25,442,442,True
28,96,443,443,True
79,88,443,443,True
28,125,444,444,True
96,50,444,444,True
168,171,444,444,True
8,1,445,445,True
88,90,445,445,True
109,107,445,445,True
168,152,445,445,True
117,111,446,446,True
28,124,448,448,True
125,126,449,449,True
11,0,450,450,True
11,45,450,450,True
131,147,450,450,True
111,115,452,452,True
46,60,453,453,True
50,57,453,453,True
108,87,455,455,True
28,128,462,462,True
11,0,465,465,True
149,157,469,469,True
173,163,472,472,True
11,45,473,473,True
141,86,474,474,True
115,113,474,474,True
160,168,474,474,True
157,162,475,475,True
160,168,479,479,True
21,8,480,480,True
126,125,480,480,True
149,172,480,480,True
