id,degree_contact
94,56
62,50
18,48
119,47
32,47
168,46
60,45
47,44
127,44
70,42
42,42
176,42
29,41
7,40
30,40
155,40
75,39
21,39
163,39
175,38
55,38
63,37
158,37
103,37
71,37
153,36
149,36
25,36
1,36
178,36
114,35
95,35
67,35
69,35
122,35
40,35
146,34
102,34
174,34
113,34
61,34
37,34
11,33
152,33
131,33
171,33
164,33
53,33
143,32
154,32
35,32
151,32
165,32
137,31
169,31
14,31
0,31
105,31
172,30
126,30
45,30
73,30
115,30
74,29
19,29
167,29
80,29
89,29
46,29
124,29
118,28
135,28
150,28
24,28
17,28
141,28
68,27
52,27
64,27
111,27
84,27
13,26
173,26
160,26
96,25
100,25
112,25
156,24
98,24
142,24
49,24
38,24
34,24
87,24
72,23
4,23
99,23
48,23
108,23
56,23
9,23
104,23
86,22
179,22
110,22
125,21
148,21
117,21
88,21
5,21
138,20
39,20
93,20
82,20
8,19
121,19
26,19
90,19
58,19
129,18
16,18
162,18
145,18
140,18
31,18
161,18
128,18
23,17
44,17
139,17
144,17
65,17
136,17
66,17
120,17
81,17
3,16
157,16
77,15
51,15
22,15
177,15
147,14
2,14
166,14
27,14
41,14
10,14
92,14
50,14
28,13
133,13
54,13
85,13
43,13
78,12
79,12
33,12
91,11
170,11
6,11
83,10
20,10
59,10
130,10
15,9
159,9
109,9
106,9
57,9
132,8
12,8
101,7
76,6
134,6
123,5
107,4
97,3
36,2
116,2
